OBJECTID,MemorialHighwayName,Highway,Law,Description,LawWebLink,Biographies,GlobalID
106,Walter P. Reuther Highway,I-696,250.1023,"Highway I-696 in Oakland and Macomb counties shall be known as the ""Walter P. Reuther Highway"".",250-1023,"Walter P. Reuther was an early leader in the United Auto Workers union, campaigning for the rights of the line workers at the many automobile factories in Detroit.",{DDB5F6DF-18F8-4341-82DE-95D92639E8AD}
107,Olds Freeway,I-496,250.1025,"That portion of highway I-496 that is within the city limits of the city of Lansing shall be known as the ""Olds Freeway"".",250-1025,"Ransom E. Olds was the founder of Oldsmobile and the REO Motor Car Company, headquartered in Lansing, Michigan.",{71041CB9-6608-43C6-8EBE-BB5D0D529850}
108,Veterans Memorial Freeway,M-59,250.103,"The portion of highway M-59 beginning at the eastern city limit of the city of Pontiac and extending east to the western city limit of the city of Utica shall be known as the ""Veterans Memorial Freeway"".",250-103,"Title 38 of the Code of Federal Regulations defines a veteran as “a person who served in the active military, naval, or air service and who was discharged or released under conditions other than dishonorable.” This definition explains that any individual that completed a service for any branch of armed forces classifies as a veteran as long as they were not dishonorably discharged.",{B373103E-BF7F-4632-A584-A78FF14BE21B}
109,Veterans Memorial Highway,I-69,250.1032,The portion of highway I-69 between the western city limit of the city of Flint and the eastern city limit of the city of Port Huron shall be known as the “Veterans Memorial Highway”.,250-1032,"Title 38 of the Code of Federal Regulations defines a veteran as “a person who served in the active military, naval, or air service and who was discharged or released under conditions other than dishonorable.” This definition explains that any individual that completed a service for any branch of armed forces classifies as a veteran as long as they were not dishonorably discharged.",{C5750DEB-D59B-4023-B84C-15343AAC4CFD}
110,Chevrolet-Buick Freeway,I-69,250.1033,"Highway I-69 in Genesee County shall be known as the ""Chevrolet-Buick Freeway"".",250-1033,"Chevrolet (also referred to as Chevy) and Buick are American automobile divisions of the American manufacturer General Motors (GM), headquartered in Detroit, Michigan.",{1BC96F60-0EBA-4EE5-A174-FB6CAF3E262D}
111,DeWayne T. Williams Memorial Highway,I-69,250.1034,"The portion of highway I-69 beginning at the eastern city limit of the city of Lapeer and extending east to the western city limit of the city of Port Huron shall be known as the ""DeWayne T. Williams Memorial Highway"".",250-1034,"Dewayne Williams was born on September 18, 1949, in Brown City, Michigan. He attended Bell Elementary School, St. Clair Elementary, Intermediate, and High Schools in St. Clair, Michigan, and Capac High School, in Capac, Michigan. In December 1967, Williams enlisted in the Marine Corps Reserve, and went into the active Marine Corps on January 2, 1968. He was then assigned duty as anti-tank assault man with Company H, 2nd Battalion 1st Marines. On September 18, a five man Killer Team preparing to displace, was engaged by enemy force of unknown size. During the fire fight, wounded marine rolled onto enemy grenade, absorbing entire impact.",{1EFDC94D-99A2-4B3C-B9E5-B020D640F865}
112,Fort Custer Memorial Highway,M-96,250.1039,"The portion of highway M-96 beginning at the intersection with business loop I-94 in the city of Kalamazoo and extending east to the village of Augusta shall be known as the ""Fort Custer Memorial Highway"".",250-1039,Fort Custer Training Center is a federally owned and state-operated Michigan Army National Guard training facility. It is one of the most heavily used Midwest training facilities and is used mainly for company level small arms and maintenance training. It is named after Civil War cavalry officer General George Armstrong Custer.,{5D2A5504-7AA8-41CA-87AF-A27EEEC54F49}
113,Haskell L. Nichols Memorial Highway,US-127,250.1046,"The portion of highway US-127 beginning at the north county line of Jackson County and extending south to the intersection with highway I-94 shall be known as the ""Haskell L. Nichols Memorial Highway"".",250-1046,Haskell L. Nichols was a Republican politician who served in both houses of the Michigan Legislature between 1933 and 1966.,{7BA6450F-64C4-4A4D-AC2F-B77697EAB8AB}
114,117th Quartermaster Battalion,M-117,250.1047,Highway M-117 between M-28 and US-2 in Mackinac County is named in honor of the 117th quartermaster battalion.,250-1047,The 117th Quartermaster Battalion was a former National Guard unit based at one time in Kingsford.,{1508BB6C-1516-48F3-A86C-7FD6E95E35D6}
115,St. Joseph Valley Parkway,US-31,250.1049,"The portion of highway US-31 beginning at the Michigan-Indiana state line and extending north to the intersection with I-94 in Berrien County shall be known as the ""St. Joseph Valley Parkway"".",250-1049,The St. Joseph Valley Parkway is a freeway in the U.S. states of Indiana and Michigan which runs along the St. Joseph River valley.,{4AC29F7A-4BFF-424D-BBFD-D691958A4533}
116,Disabled American Veterans Memorial Highway,I-275,250.1051,"Highway I-275 north of the Livonia intersection of I-275 and I-96 shall be known as the ""Disabled American Veterans Memorial Highway"".",250-1051,"Named in honor of disabled American veterans, or veterans who were discharged or released from active duty because of a service-connected disability.",{13420326-730F-43C4-9C2E-0C6E2590C266}
117,Paul B. Henry Freeway,M-6,250.1053,"Highway M-6 located in Kent and Ottawa counties shall be known as the ""Paul B. Henry Freeway"".",250-1053,"A Representative from Michigan; born in Chicago, Ill., July 9, 1942; graduated from Pasadena High School, Pasadena, Calif., 1959; B.A., Wheaton College, Ill., 1963; M.A., Duke University, Durham, N.C., 1968; Ph.D., Duke, 1970; Peace Corps volunteer in Liberia and Ethiopia, 1963-1965; professor of political science, Calvin College, Grand Rapids, Mich.; member, Michigan State Board of Education, 1975-1978; Michigan State house of representatives, 1979-1982; Michigan State senate, 1983-1984; elected as a Republican to the Ninety-ninth and to the four succeeding Congresses and served from January 3, 1985, until his death in Grand Rapids, Mich., on July 31, 1993; interment in Woodlawn Cemetery, Grand Rapids, MI.",{C68DB1D3-CC98-447D-885A-E7261174B7B4}
118,Keith Deacon Memorial Highway,M-5,250.1054,"The part of highway M-5 located in the city of Farmington Hills and the city of Farmington extending from the interchange of highways I-96, I-275, and I-696 east to the intersection with M-102 shall be known as the ""Keith Deacon Memorial Highway"".",250-1054,"The late D. Keith Deacon served the City of Farmington Hills in various capacities, including as a member of the charter commission and the first city council. Deacon also served two terms as mayor pro-tem and was the city's fourth mayor. During his 17 years of service on the city's economic development commission (EDC), Deacon took a particular interest in the economic development of the city and the construction of roads in Farmington Hills. He was especially concerned about the way traffic patterns affected the residents and the business community. Consequently, he was committed to finding solutions to traffic congestion along the M-5/Grand River Avenue interchange in Farmington Hills and the City of Farmington.",{19F6316A-F412-4DF9-B6D4-937436CBC7CA}
119,Veterans' Memorial Drive,M-33,250.1056,"The part of highway M-33 located in Ogemaw and Oscoda counties between Houghton Creek Road and Miller Road shall be known as the ""Veterans' Memorial Drive"".",250-1056,"Title 38 of the Code of Federal Regulations defines a veteran as “a person who served in the active military, naval, or air service and who was discharged or released under conditions other than dishonorable.” This definition explains that any individual that completed a service for any branch of armed forces classifies as a veteran as long as they were not dishonorably discharged.",{2C19F127-BEBA-47AB-AA32-882076057298}
120,Pearl Harbor Memorial Highway,I-69,250.1059,"The portion of highway I-69 beginning at exit 105 in Shiawassee County and extending east to exit 135 in Genesee County shall be known as the ""Pearl Harbor Memorial Highway"".",250-1059,"Pearl Harbor is a harbor on the island of Oahu, Hawaii, and a United States Navy deep-water naval base. It is also the headquarters of the United States Pacific Fleet. The attack on Pearl Harbor by the Empire of Japan on December 7, 1941, was the immediate cause of the United States’ entry into World War II.",{D79C7817-9640-4FE8-9C7F-26EC623EC966}
121,James G. O'Hara Freeway,I-94,250.1062,"The portion of highway I-94 lying within Macomb and St. Clair counties shall be known as the ""James G. O'Hara Freeway"".",250-1062,"James Grant O’Hara, a Representative from Michigan; born in Washington, D.C., November 8, 1925; moved with his parents to Michigan, in 1939; graduated from University of Detroit High School in 1943; during the Second World War served as an enlisted man in the United States Army with Company B, Five Hundred and Eleventh Parachute Infantry Regiment, Eleventh Airborne Division, seeing action in the Pacific Theater of Operations; graduated from the University of Michigan in 1954 and from the law department of the same university in 1955; was admitted to the bar in 1955 and commenced the practice of law in Detroit and Macomb County, Mich.; delegate, Democratic National Conventions, 1960 and 1968; elected as a Democrat to the Eighty-sixth and to the eight succeeding Congresses (January 3, 1959-January 3, 1977); was not a candidate in 1976 for reelection but was an unsuccessful candidate for nomination to the United States Senate; resumed the practice of law in Washington, D.C.; member, and later chairman, Federal Minimum Wage Study Commission, 1978-1981; was a resident of Alexandria, Va., until his death in Washington, D.C., on March 13, 1989: interment in Arlington National Cemetery.",{1995BF16-5942-47EE-BAB2-63C39C3C1952}
